Terminalia amazonica;Cuiarana;m;o;ol;7.8;5.2;12.8;0.80;1.03;1.24;11700;106.8;51.8;12.6;11.9;9020;9280;5.2;;;Terminalia amazonica ;14300;148.9;79.5;14.3;14.2;11660;10140;5.3;;1.5
Dipteryx odorata;Cumaru;m;r;am;8.4;5.4;13.5;0.91;1.07;1.28;16200;136.4;69.3;16.0;16.9;12920;13930;6.4;930;;Dipteryx odorata;18300;176.4;98.7;21.0;22.4;13390;16010;4.9;870;1.6
Goupia glabra;Cupiúba;m;r;ma;8.9;5.0;13.1;0.71;0.88;1.17;11800;92.1;47.1;9.3;12.1;7510;7050;5.2;690;;Goupia glabra;13000;118.4;66.2;12.9;15.5;11510;9740;;700;1.8
Goupia glabra;Cupiúba;m;r;;8.4;4.5;13.2;0.71;0.92;1.13;11700;91.6;48.5;9.4;12.5;7780;7470;6.6;730;;Goupia glabra;14900;134.0;68.9;14.8;14.8;10190;8300;4.2;560;1.9
Diclinanona calycina;Envira;m;d;ol;10.1;3.2;13.6;0.47;0.61;1.07;9000;64.9;27.5;;6.1;3270;3250;3.1;;;Diclinanona calycina;11300;95.4;49.8;;7.6;5160;4030;3.1;;3.2
Rollinia exsucca;Envira;m;d;ci;8.8;3.2;12.3;0.52;0.66;1.02;11600;75.4;36.6;3.9;7.9;4480;3810;;530;;Rollinia exsucca;12000;91.4;53.3;;8.6;5390;3920;;300;2.8
Xylopia nitida;Envira;m;d;ol;11.4;6.7;16.6;0.56;0.75;1.09;14100;69.4;35.5;3.5;7.9;4150;3450;3.1;370;;Xylopia nitida;16200;119.3;63.3;5.8;8.6;6690;5070;2.3;480;1.7
Pterocarpus sp.;Envira-de-preguiça;f;d;br;5.4;3.3;9.8;0.43;0.55;1.02;8900;55.6;25.6;4.5;8.9;3030;2070;3.3;400;;Pterocarpus sp.;10400;84.1;39.6;5.0;12.6;5680;4150;3.3;450;1.6
Guatteria olivacea;Envira-preta;m;d;ol;9.3;4.4;13.0;0.51;0.85;1.11;10200;57.5;26.4;;8.3;4030;3230;3.5;430;;Guatteria olivacea;11400;92.0;43.1;3.1;8.9;5920;4850;3.9;;2.1
Guatteria procera;Envira-preta;mg;d;ol;11.4;7.2;18.5;0.65;0.89;1.17;14800;80.4;37.1;4.4;8.8;4990;4880;;460;;Guatteria procera;15600;123.9;70.5;5.5;10.7;7590;6660;2.7;500;1.6
Onychopetalum amazonicum;Envira-preta;m;d;ol;8.1;4.9;14.0;0.57;0.74;1.12;13400;73.7;38.8;3.4;8.9;5080;4350;2.7;;;Onychopetalum amazonicum;14000;126.5;71.0;6.4;10.4;6800;5710;2.9;;1.7
Onychopetalum amazonicum;Envira-preta;m;d;ol;8.7;3.9;12.7;0.64;0.82;1.09;12400;87.2;43.5;4.7;7.6;6060;5770;3.3;410;;Onychopetalum amazonicum;15300;125.2;66.5;6.6;10.4;8220;6950;2.4;510;2.2
Virola carinata;Envirola;mf;d;ma;9.6;4.5;13.9;0.38;0.48;1.07;8800;37.3;17.8;1.9;5.5;2430;2210;2.6;260;;Virola carinata;10200;63.3;40.2;2.5;5.7;;2350;2.2;310;2.1
Acacia polyphylla;Espinheiro-preto;m;d;am;10.1;4.9;14.0;0.60;0.74;1.20;11400;77.0;30.9;4.6;10.1;3230;3250;4.9;540;;Acacia polyphylla;13200;106.6;59.0;8.7;11.7;6910;4960;3.5;650;2.1
Parkia paraensis;Fava-arara-tucupi;m;i;ci;7.6;3.5;11.9;0.44;0.56;1.01;10400;52.0;23.6;3.0;7.8;3120;2560;3.2;450;;Parkia paraensis;11700;75.0;39.4;4.7;9.8;3990;3370;3.5;570;2.2
Parkia gigantocarpa;Fava-bolota/Visqueiro;m;r;br;5.8;2.2;8.8;0.26;0.31;0.95;6100;29.4;13.0;1.6;4.4;2070;1690;1.9;210;;Parkia gigantocarpa;9000;31.2;22.6;2.0;6.4;2350;1710;1.7;230;2.6
Stryphnodendron pulcherrimum;Fava-branca;m;i;ma;7.5;5.1;11.1;0.48;0.61;1.00;10300;64.2;30.0;3.7;9.2;4420;3650;3.2;400;;Stryphnodendron pulcherrimum;12100;97.8;45.8;4.9;12.5;7450;5940;3.1;370;1.5
Parkia oppositifolia;Faveira;m;i;br;5.3;2.7;8.7;0.31;0.38;0.90;6600;29.4;16.0;2.1;6.3;2670;2060;3.6;450;;Parkia oppositifolia;9700;83.6;35.5;5.6;9.7;3050;2740;3.2;390;2.0
